150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True
214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False
384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True
383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
386,DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150,3,True
445,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,False
646,KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,True
354,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,False
409,Rampardos,Rock,,495,97,165,60,65,50,58,4,False
475,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,False
