113,Chansey,Normal,,450,250,5,5,35,105,50,1,False
440,Happiny,Normal,,220,100,5,5,15,65,30,4,False
242,Blissey,Normal,,540,255,10,10,75,135,55,2,False
63,Abra,Psychic,,310,25,20,15,105,55,90,1,False
172,Pichu,Electric,,205,20,40,15,35,35,60,2,False
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False
349,Feebas,Water,,200,20,15,20,10,55,80,3,False
